Afar,aa,aawiki,aawiki/20150901,/aawiki/20150901/aawiki-20150901-pages-articles.xml.bz2, 32 KB
Abkhazian,ab,abwiki,abwiki/20150901,/abwiki/20150901/abwiki-20150901-pages-articles.xml.bz2, 582 KB
Acehnese,ace,acewiki,acewiki/20150901,/acewiki/20150901/acewiki-20150901-pages-articles.xml.bz2, 1.7 MB
Afrikaans,af,afwiki,afwiki/20150901,/afwiki/20150901/afwiki-20150901-pages-articles.xml.bz2, 43.4 MB
Akan,ak,akwiki,akwiki/20150901,/akwiki/20150901/akwiki-20150901-pages-articles.xml.bz2, 200 KB
Alemannic,als,alswiki,alswiki/20150901,/alswiki/20150901/alswiki-20150901-pages-articles.xml.bz2, 31.6 MB
Amharic,am,amwiki,amwiki/20150901,/amwiki/20150901/amwiki-20150901-pages-articles.xml.bz2, 4.5 MB
Anglo-Saxon,ang,angwiki,angwiki/20150901,/angwiki/20150901/angwiki-20150901-pages-articles.xml.bz2, 3.0 MB
Aragonese,an,anwiki,anwiki/20150901,/anwiki/20150901/anwiki-20150901-pages-articles.xml.bz2, 23.7 MB
Aramaic,arc,arcwiki,arcwiki/20150901,/arcwiki/20150901/arcwiki-20150901-pages-articles.xml.bz2, 770 KB
Arabic,ar,arwiki,arwiki/20150901,/arwiki/20150901/arwiki-20150901-pages-articles.xml.bz2, 409.6 MB
Egyptian Arabic,arz,arzwiki,arzwiki/20150901,/arzwiki/20150901/arzwiki-20150901-pages-articles.xml.bz2, 12.7 MB
Asturian,ast,astwiki,astwiki/20150901,/astwiki/20150901/astwiki-20150901-pages-articles.xml.bz2, 21.1 MB
Assamese,as,aswiki,aswiki/20150901,/aswiki/20150901/aswiki-20150901-pages-articles.xml.bz2, 14.3 MB
Avar,av,avwiki,avwiki/20150901,/avwiki/20150901/avwiki-20150901-pages-articles.xml.bz2, 2.0 MB
Aymara,ay,aywiki,aywiki/20150901,/aywiki/20150901/aywiki-20150901-pages-articles.xml.bz2, 1.3 MB
Azerbaijani,az,azwiki,azwiki/20150901,/azwiki/20150901/azwiki-20150901-pages-articles.xml.bz2, 81.9 MB
Bavarian,bar,barwiki,barwiki/20150901,/barwiki/20150901/barwiki-20150901-pages-articles.xml.bz2, 17.8 MB
Samogitian,bat-smg,bat_smgwiki,bat_smgwiki/20150901,/bat_smgwiki/20150901/bat_smgwiki-20150901-pages-articles.xml.bz2, 3.1 MB
Bashkir,ba,bawiki,bawiki/20150901,/bawiki/20150901/bawiki-20150901-pages-articles.xml.bz2, 17.6 MB
Central Bicolano,bcl,bclwiki,bclwiki/20150901,/bclwiki/20150901/bclwiki-20150901-pages-articles.xml.bz2, 2.7 MB
Belarusian,be,bewiki,bewiki/20150901,/bewiki/20150901/bewiki-20150901-pages-articles.xml.bz2, 103.0 MB
Belarusian (Tara_kievica),be-x-old,be_x_oldwiki,be_x_oldwiki/20150901,/be_x_oldwiki/20150901/be_x_oldwiki-20150901-pages-articles.xml.bz2, 53.7 MB
Bulgarian,bg,bgwiki,bgwiki/20150901,/bgwiki/20150901/bgwiki-20150901-pages-articles.xml.bz2, 234.7 MB
Bhojpuri,bh,bhwiki,bhwiki/20150901,/bhwiki/20150901/bhwiki-20150901-pages-articles.xml.bz2, 3.5 MB
Bislama,bi,biwiki,biwiki/20150901,/biwiki/20150901/biwiki-20150901-pages-articles.xml.bz2, 216 KB
Banjar,bjn,bjnwiki,bjnwiki/20150901,/bjnwiki/20150901/bjnwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Bambara,bm,bmwiki,bmwiki/20150901,/bmwiki/20150901/bmwiki-20150901-pages-articles.xml.bz2, 315 KB
Bengali,bn,bnwiki,bnwiki/20150901,/bnwiki/20150901/bnwiki-20150901-pages-articles.xml.bz2, 68.7 MB
Tibetan,bo,bowiki,bowiki/20150901,/bowiki/20150901/bowiki-20150901-pages-articles.xml.bz2, 5.7 MB
Bishnupriya Manipuri,bpy,bpywiki,bpywiki/20150901,/bpywiki/20150901/bpywiki-20150901-pages-articles.xml.bz2, 4.3 MB
Breton,br,brwiki,brwiki/20150901,/brwiki/20150901/brwiki-20150901-pages-articles.xml.bz2, 35.4 MB
Bosnian,bs,bswiki,bswiki/20150901,/bswiki/20150901/bswiki-20150901-pages-articles.xml.bz2, 71.5 MB
Buginese,bug,bugwiki,bugwiki/20150901,/bugwiki/20150901/bugwiki-20150901-pages-articles.xml.bz2, 1.4 MB
Buryat,bxr,bxrwiki,bxrwiki/20150901,/bxrwiki/20150901/bxrwiki-20150901-pages-articles.xml.bz2, 2.1 MB
Catalan,ca,cawiki,cawiki/20150901,/cawiki/20150901/cawiki-20150901-pages-articles.xml.bz2, 575.9 MB
Chavacano,cbk-zam,cbk_zamwiki,cbk_zamwiki/20150901,/cbk_zamwiki/20150901/cbk_zamwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Min Dong,cdo,cdowiki,cdowiki/20150901,/cdowiki/20150901/cdowiki-20150901-pages-articles.xml.bz2, 1.2 MB
Cebuano,ceb,cebwiki,cebwiki/20150901,/cebwiki/20150901/cebwiki-20150901-pages-articles.xml.bz2, 178.9 MB
Chechen,ce,cewiki,cewiki/20150901,/cewiki/20150901/cewiki-20150901-pages-articles.xml.bz2, 21.9 MB
Choctaw,cho,chowiki,chowiki/20150901,/chowiki/20150901/chowiki-20150901-pages-articles.xml.bz2, 15 KB
Cherokee,chr,chrwiki,chrwiki/20150901,/chrwiki/20150901/chrwiki-20150901-pages-articles.xml.bz2, 1.3 MB
Chamorro,ch,chwiki,chwiki/20150901,/chwiki/20150901/chwiki-20150901-pages-articles.xml.bz2, 146 KB
Cheyenne,chy,chywiki,chywiki/20150901,/chywiki/20150901/chywiki-20150901-pages-articles.xml.bz2, 227 KB
Sorani,ckb,ckbwiki,ckbwiki/20150901,/ckbwiki/20150901/ckbwiki-20150901-pages-articles.xml.bz2, 12.7 MB
Corsican,co,cowiki,cowiki/20150901,/cowiki/20150901/cowiki-20150901-pages-articles.xml.bz2, 2.5 MB
Crimean Tatar,crh,crhwiki,crhwiki/20150901,/crhwiki/20150901/crhwiki-20150901-pages-articles.xml.bz2, 1.6 MB
Cree,cr,crwiki,crwiki/20150901,/crwiki/20150901/crwiki-20150901-pages-articles.xml.bz2, 223 KB
Kashubian,csb,csbwiki,csbwiki/20150901,/csbwiki/20150901/csbwiki-20150901-pages-articles.xml.bz2, 1.3 MB
Czech,cs,cswiki,cswiki/20150901,/cswiki/20150901/cswiki-20150901-pages-articles.xml.bz2, 509.6 MB
Old Church Slavonic,cu,cuwiki,cuwiki/20150901,/cuwiki/20150901/cuwiki-20150901-pages-articles.xml.bz2, 430 KB
Chuvash,cv,cvwiki,cvwiki/20150901,/cvwiki/20150901/cvwiki-20150901-pages-articles.xml.bz2, 13.3 MB
Welsh,cy,cywiki,cywiki/20150901,/cywiki/20150901/cywiki-20150901-pages-articles.xml.bz2, 34.3 MB
Danish,da,dawiki,dawiki/20150901,/dawiki/20150901/dawiki-20150901-pages-articles.xml.bz2, 223.8 MB
German,de,dewiki,dewiki/20150901,/dewiki/20150901/dewiki-20150901-pages-articles.xml.bz2, 3.6 GB
German,de,dewiki,dewiki/20150901,/dewiki/20150901/dewiki-20150901-pages-articles1.xml.bz2, 102.3 MB
German,de,dewiki,dewiki/20150901,/dewiki/20150901/dewiki-20150901-pages-articles2.xml.bz2, 922.0 MB
German,de,dewiki,dewiki/20150901,/dewiki/20150901/dewiki-20150901-pages-articles3.xml.bz2, 845.6 MB
German,de,dewiki,dewiki/20150901,/dewiki/20150901/dewiki-20150901-pages-articles4.xml.bz2, 1.8 GB
Zazaki,diq,diqwiki,diqwiki/20150901,/diqwiki/20150901/diqwiki-20150901-pages-articles.xml.bz2, 4.9 MB
Lower Sorbian,dsb,dsbwiki,dsbwiki/20150901,/dsbwiki/20150901/dsbwiki-20150901-pages-articles.xml.bz2, 2.9 MB
Divehi,dv,dvwiki,dvwiki/20150901,/dvwiki/20150901/dvwiki-20150901-pages-articles.xml.bz2, 3.6 MB
Dzongkha,dz,dzwiki,dzwiki/20150901,/dzwiki/20150901/dzwiki-20150901-pages-articles.xml.bz2, 174 KB
Ewe,ee,eewiki,eewiki/20150901,/eewiki/20150901/eewiki-20150901-pages-articles.xml.bz2, 242 KB
Greek,el,elwiki,elwiki/20150901,/elwiki/20150901/elwiki-20150901-pages-articles.xml.bz2, 199.0 MB
Emilian-Romagnol,eml,emlwiki,emlwiki/20150901,/emlwiki/20150901/emlwiki-20150901-pages-articles.xml.bz2, 4.2 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles.xml.bz2, 11.4 GB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles1.xml-p000000010p000010000.bz2, 45.3 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles2.xml-p000010002p000024999.bz2, 74.2 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles3.xml-p000025001p000055000.bz2, 112.5 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles4.xml-p000055002p000104998.bz2, 114.8 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles5.xml-p000105002p000184999.bz2, 158.2 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles6.xml-p000185003p000305000.bz2, 184.1 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles7.xml-p000305002p000464996.bz2, 213.8 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles8.xml-p000465001p000665000.bz2, 202.1 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles9.xml-p000665001p000925000.bz2, 195.2 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles10.xml-p000925001p001325000.bz2, 281.2 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles11.xml-p001325001p001825000.bz2, 292.6 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles12.xml-p001825001p002425000.bz2, 318.6 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles13.xml-p002425002p003124997.bz2, 299.7 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles14.xml-p003125001p003924999.bz2, 298.4 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles15.xml-p003925001p004824998.bz2, 286.4 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles16.xml-p004825005p006024996.bz2, 350.4 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles17.xml-p006025001p007524997.bz2, 356.3 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles18.xml-p007525004p009225000.bz2, 375.3 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles19.xml-p009225002p011124997.bz2, 353.0 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles20.xml-p011125004p013324998.bz2, 472.8 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles21.xml-p013325003p015724999.bz2, 488.2 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles22.xml-p015725013p018225000.bz2, 439.6 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles23.xml-p018225004p020925000.bz2, 520.9 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles24.xml-p020925002p023724999.bz2, 577.1 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles25.xml-p023725001p026624997.bz2, 607.6 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles26.xml-p026625004p029624976.bz2, 567.0 MB
English,en,enwiki,enwiki/20150901,/enwiki/20150901/enwiki-20150901-pages-articles27.xml-p029625017p047687611.bz2, 3.4 GB
Esperanto,eo,eowiki,eowiki/20150901,/eowiki/20150901/eowiki-20150901-pages-articles.xml.bz2, 175.2 MB
Spanish,es,eswiki,eswiki/20150901,/eswiki/20150901/eswiki-20150901-pages-articles.xml.bz2, 2.1 GB
Spanish,es,eswiki,eswiki/20150901,/eswiki/20150901/eswiki-20150901-pages-articles1.xml.bz2, 223.4 MB
Spanish,es,eswiki,eswiki/20150901,/eswiki/20150901/eswiki-20150901-pages-articles2.xml.bz2, 336.7 MB
Spanish,es,eswiki,eswiki/20150901,/eswiki/20150901/eswiki-20150901-pages-articles3.xml.bz2, 465.4 MB
Spanish,es,eswiki,eswiki/20150901,/eswiki/20150901/eswiki-20150901-pages-articles4.xml.bz2, 1.1 GB
Estonian,et,etwiki,etwiki/20150901,/etwiki/20150901/etwiki-20150901-pages-articles.xml.bz2, 126.3 MB
Basque,eu,euwiki,euwiki/20150901,/euwiki/20150901/euwiki-20150901-pages-articles.xml.bz2, 122.6 MB
Extremaduran,ext,extwiki,extwiki/20150901,/extwiki/20150901/extwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Persian,fa,fawiki,fawiki/20150901,/fawiki/20150901/fawiki-20150901-pages-articles.xml.bz2, 399.4 MB
Fula,ff,ffwiki,ffwiki/20150901,/ffwiki/20150901/ffwiki-20150901-pages-articles.xml.bz2, 201 KB
V_ro,fiu-vro,fiu_vrowiki,fiu_vrowiki/20150901,/fiu_vrowiki/20150901/fiu_vrowiki-20150901-pages-articles.xml.bz2, 1.6 MB
Finnish,fi,fiwiki,fiwiki/20150901,/fiwiki/20150901/fiwiki-20150901-pages-articles.xml.bz2, 462.2 MB
Fijian,fj,fjwiki,fjwiki/20150901,/fjwiki/20150901/fjwiki-20150901-pages-articles.xml.bz2, 154 KB
Faroese,fo,fowiki,fowiki/20150901,/fowiki/20150901/fowiki-20150901-pages-articles.xml.bz2, 9.0 MB
Franco-Provençal,frp,frpwiki,frpwiki/20150901,/frpwiki/20150901/frpwiki-20150901-pages-articles.xml.bz2, 1.0 MB
North Frisian,frr,frrwiki,frrwiki/20150901,/frrwiki/20150901/frrwiki-20150901-pages-articles.xml.bz2, 3.7 MB
French,fr,frwiki,frwiki/20150901,/frwiki/20150901/frwiki-20150901-pages-articles.xml.bz2, 2.9 GB
French,fr,frwiki,frwiki/20150901,/frwiki/20150901/frwiki-20150901-pages-articles1.xml.bz2, 444.4 MB
French,fr,frwiki,frwiki/20150901,/frwiki/20150901/frwiki-20150901-pages-articles2.xml.bz2, 537.4 MB
French,fr,frwiki,frwiki/20150901,/frwiki/20150901/frwiki-20150901-pages-articles3.xml.bz2, 589.2 MB
French,fr,frwiki,frwiki/20150901,/frwiki/20150901/frwiki-20150901-pages-articles4.xml.bz2, 1.4 GB
Friulian,fur,furwiki,furwiki/20150901,/furwiki/20150901/furwiki-20150901-pages-articles.xml.bz2, 1.9 MB
West Frisian,fy,fywiki,fywiki/20150901,/fywiki/20150901/fywiki-20150901-pages-articles.xml.bz2, 27.8 MB
Gagauz,gag,gagwiki,gagwiki/20150901,/gagwiki/20150901/gagwiki-20150901-pages-articles.xml.bz2, 1.9 MB
Gan,gan,ganwiki,ganwiki/20150901,/ganwiki/20150901/ganwiki-20150901-pages-articles.xml.bz2, 3.0 MB
Irish,ga,gawiki,gawiki/20150901,/gawiki/20150901/gawiki-20150901-pages-articles.xml.bz2, 14.8 MB
Scottish Gaelic,gd,gdwiki,gdwiki/20150901,/gdwiki/20150901/gdwiki-20150901-pages-articles.xml.bz2, 5.7 MB
Gilaki,glk,glkwiki,glkwiki/20150901,/glkwiki/20150901/glkwiki-20150901-pages-articles.xml.bz2, 1.6 MB
Galician,gl,glwiki,glwiki/20150901,/glwiki/20150901/glwiki-20150901-pages-articles.xml.bz2, 146.6 MB
Guarani,gn,gnwiki,gnwiki/20150901,/gnwiki/20150901/gnwiki-20150901-pages-articles.xml.bz2, 2.2 MB
Goan Konkani,gom,gomwiki,gomwiki/20150901,/gomwiki/20150901/gomwiki-20150901-pages-articles.xml.bz2, 3.0 MB
Gothic,got,gotwiki,gotwiki/20150901,/gotwiki/20150901/gotwiki-20150901-pages-articles.xml.bz2, 446 KB
Gujarati,gu,guwiki,guwiki/20150901,/guwiki/20150901/guwiki-20150901-pages-articles.xml.bz2, 20.7 MB
Manx,gv,gvwiki,gvwiki/20150901,/gvwiki/20150901/gvwiki-20150901-pages-articles.xml.bz2, 4.5 MB
Hakka,hak,hakwiki,hakwiki/20150901,/hakwiki/20150901/hakwiki-20150901-pages-articles.xml.bz2, 1.7 MB
Hausa,ha,hawiki,hawiki/20150901,/hawiki/20150901/hawiki-20150901-pages-articles.xml.bz2, 594 KB
Hawaiian,haw,hawwiki,hawwiki/20150901,/hawwiki/20150901/hawwiki-20150901-pages-articles.xml.bz2, 398 KB
Hebrew,he,hewiki,hewiki/20150901,/hewiki/20150901/hewiki-20150901-pages-articles.xml.bz2, 383.5 MB
Fiji Hindi,hif,hifwiki,hifwiki/20150901,/hifwiki/20150901/hifwiki-20150901-pages-articles.xml.bz2, 3.4 MB
Hindi,hi,hiwiki,hiwiki/20150901,/hiwiki/20150901/hiwiki-20150901-pages-articles.xml.bz2, 90.8 MB
Hiri Motu,ho,howiki,howiki/20150901,/howiki/20150901/howiki-20150901-pages-articles.xml.bz2, 7 KB
Croatian,hr,hrwiki,hrwiki/20150901,/hrwiki/20150901/hrwiki-20150901-pages-articles.xml.bz2, 183.8 MB
Upper Sorbian,hsb,hsbwiki,hsbwiki/20150901,/hsbwiki/20150901/hsbwiki-20150901-pages-articles.xml.bz2, 6.6 MB
