Afar,aa,aawiki, 31 KB,aawiki-20150602-pages-articles.xml.bz2,/20150602/
Abkhazian,ab,abwiki, 560 KB,abwiki-20150602-pages-articles.xml.bz2,/20150602/
Acehnese,ace,acewiki, 1.7 MB,acewiki-20150602-pages-articles.xml.bz2,/20150602/
Afrikaans,af,afwiki, 41.9 MB,afwiki-20150602-pages-articles.xml.bz2,/20150602/
Akan,ak,akwiki, 212 KB,akwiki-20150602-pages-articles.xml.bz2,/20150602/
Alemannic,als,alswiki, 30.8 MB,alswiki-20150602-pages-articles.xml.bz2,/20150602/
Amharic,am,amwiki, 4.4 MB,amwiki-20150602-pages-articles.xml.bz2,/20150602/
Anglo-Saxon,ang,angwiki, 3.0 MB,angwiki-20150603-pages-articles.xml.bz2,/20150603/
Aragonese,an,anwiki, 23.6 MB,anwiki-20150602-pages-articles.xml.bz2,/20150602/
Aramaic,arc,arcwiki, 761 KB,arcwiki-20150602-pages-articles.xml.bz2,/20150602/
Arabic,ar,arwiki, 393.6 MB,arwiki-20150602-pages-articles.xml.bz2,/20150602/
Egyptian Arabic,arz,arzwiki, 12.4 MB,arzwiki-20150602-pages-articles.xml.bz2,/20150602/
Asturian,ast,astwiki, 16.5 MB,astwiki-20150603-pages-articles.xml.bz2,/20150603/
Assamese,as,aswiki,13.6 MB,aswiki-20150603-pages-articles.xml.bz2,/20150603/
Avar,av,avwiki, 1.4 MB,avwiki-20150602-pages-articles.xml.bz2,/20150602/
Aymara,ay,aywiki, 1.2 MB,aywiki-20150602-pages-articles.xml.bz2,/20150602/
Azerbaijani,az,azwiki, 78.7 MB,azwiki-20150603-pages-articles.xml.bz2,/20150603/
Bavarian,bar,barwiki, 17.2 MB,barwiki-20150602-pages-articles.xml.bz2,/20150602/
Samogitian,bat-smg,bat_smgwiki, 3.1 MB,bat_smgwiki-20150602-pages-articles.xml.bz2,/20150602/
Bashkir,ba,bawiki, 15.6 MB,bawiki-20150602-pages-articles.xml.bz2,/20150602/
Central Bicolano,bcl,bclwiki, 2.7 MB,bclwiki-20150602-pages-articles.xml.bz2,/20150602/
Belarusian,be,bewiki, 95.9 MB,bewiki-20150602-pages-articles.xml.bz2,/20150602/
Belarusian (Tara_kievica),be-x-old,be-x-oldwiki, 52.7 MB,be_x_oldwiki-20150602-pages-articles.xml.bz2,/20150602/
Bulgarian,bg,bgwiki, 226.7 MB,bgwiki-20150602-pages-articles.xml.bz2,/20150602/
Bhojpuri,bh,bhwiki, 2.7 MB,bhwiki-20150602-pages-articles.xml.bz2,/20150602/
Bislama,bi,biwiki, 212 KB,biwiki-20150602-pages-articles.xml.bz2,/20150602/
Banjar,bjn,bjnwiki, 1.6 MB,bjnwiki-20150602-pages-articles.xml.bz2,/20150602/
Bambara,bm,bmwiki, 305 KB,bmwiki-20150602-pages-articles.xml.bz2,/20150602/
Bengali,bn,bnwiki, 65.5 MB,bnwiki-20150602-pages-articles.xml.bz2,/20150602/
Tibetan,bo,bowiki, 5.6 MB,bowiki-20150602-pages-articles.xml.bz2,/20150602/
Bishnupriya Manipuri,bpy,bpywiki, 4.3 MB,bpywiki-20150602-pages-articles.xml.bz2,/20150602/
Breton,br,brwiki, 34.8 MB,brwiki-20150603-pages-articles.xml.bz2,/20150603/
Bosnian,bs,bswiki, 68.1 MB,bswiki-20150602-pages-articles.xml.bz2,/20150602/
Buginese,bug,bugwiki, 1.4 MB,bugwiki-20150602-pages-articles.xml.bz2,/20150602/
Buryat,bxr,bxrwiki, 2.1 MB,bxrwiki-20150602-pages-articles.xml.bz2,/20150602/
Catalan,ca,cawiki, 558.3 MB,cawiki-20150602-pages-articles.xml.bz2,/20150602/
Chavacano,cbk-zam,cbk_zamwiki, 1.9 MB,cbk_zamwiki-20150602-pages-articles.xml.bz2,/20150602/
Min Dong,cdo,cdowiki, 1.1 MB,cdowiki-20150602-pages-articles.xml.bz2,/20150602/
Cebuano,ceb,cebwiki, 179.3 MB,cebwiki-20150602-pages-articles.xml.bz2,/20150602/
Chechen,ce,cewiki, 20.5 MB,cewiki-20150602-pages-articles.xml.bz2,/20150602/
Choctaw,cho,chowiki, 15 KB,chowiki-20150602-pages-articles.xml.bz2,/20150602/
Cherokee,chr,chrwiki, 1.3 MB,chrwiki-20150602-pages-articles.xml.bz2,/20150602/
Chamorro,ch,chwiki, 141 KB,chwiki-20150602-pages-articles.xml.bz2,/20150602/
Cheyenne,chy,chywiki, 219 KB,chywiki-20150602-pages-articles.xml.bz2,/20150602/
Sorani,ckb,ckbwiki, 12.1 MB,ckbwiki-20150602-pages-articles.xml.bz2,/20150602/
Corsican,co,cowiki, 2.3 MB,cowiki-20150602-pages-articles.xml.bz2,/20150602/
Crimean Tatar,crh,crhwiki, 1.6 MB,crhwiki-20150603-pages-articles.xml.bz2,/20150603/
Cree,cr,crwiki, 220 KB,crwiki-20150603-pages-articles.xml.bz2,/20150603/
Kashubian,csb,csbwiki, 1.3 MB,csbwiki-20150602-pages-articles.xml.bz2,/20150602/
Czech,cs,cswiki, 495.7 MB,cswiki-20150602-pages-articles.xml.bz2,/20150602/
Old Church Slavonic,cu,cuwiki, 430 KB,cuwiki-20150602-pages-articles.xml.bz2,/20150602/
Chuvash,cv,cvwiki, 13.0 MB,cvwiki-20150602-pages-articles.xml.bz2,/20150602/
Welsh,cy,cywiki, 33.3 MB,cywiki-20150602-pages-articles.xml.bz2,/20150602/
Danish,da,dawiki, 217.7 MB,dawiki-20150602-pages-articles.xml.bz2,/20150602/
German1,de,dewiki, 101.3 MB,dewiki-20150602-pages-articles1.xml.bz2,/20150602/
German2,de,dewiki,913.9 MB,dewiki-20150602-pages-articles2.xml.bz2,/20150602/
German3,de,dewiki,840.5 MB,dewiki-20150602-pages-articles3.xml.bz2,/20150602/
German4,de,dewiki,1.8 GB,dewiki-20150602-pages-articles4.xml.bz2,/20150602/
Zazaki,diq,diqwiki, 4.8 MB,diqwiki-20150602-pages-articles.xml.bz2,/20150602/
Lower Sorbian,dsb,dsbwiki, 2.9 MB,dsbwiki-20150603-pages-articles.xml.bz2,/20150603/
Divehi,dv,dvwiki, 3.3 MB,dvwiki-20150602-pages-articles.xml.bz2,/20150602/
Dzongkha,dz,dzwiki, 171 KB,dzwiki-20150603-pages-articles.xml.bz2,/20150603/
Ewe,ee,eewiki, 234 KB,eewiki-20150603-pages-articles.xml.bz2,/20150603/
Greek,el,elwiki, 193.8 MB,elwiki-20150602-pages-articles.xml.bz2,/20150602/
Emilian-Romagnol,eml,emlwiki, 3.9 MB,emlwiki-20150603-pages-articles.xml.bz2,/20150603/
English1,en,enwiki, 44.7 MB,enwiki-20150602-pages-articles1.xml-p000000010p000010000.bz2,/20150602/
English2,en,enwiki, 73.2 MB,enwiki-20150602-pages-articles2.xml-p000010002p000025001.bz2,/20150602/
English3,en,enwiki, 111.1 MB,enwiki-20150602-pages-articles3.xml-p000025001p000055000.bz2,/20150602/
English4,en,enwiki, 113.3 MB,enwiki-20150602-pages-articles4.xml-p000055002p000104998.bz2,/20150602/
English5,en,enwiki, 155.5 MB,enwiki-20150602-pages-articles5.xml-p000105002p000184999.bz2,/20150602/
English6,en,enwiki, 182.0 MB,enwiki-20150602-pages-articles6.xml-p000185003p000305000.bz2,/20150602/
English7,en,enwiki, 211.3 MB,enwiki-20150602-pages-articles7.xml-p000305002p000465001.bz2,/20150602/
English8,en,enwiki, 199.9 MB,enwiki-20150602-pages-articles8.xml-p000465001p000665001.bz2,/20150602/
English9,en,enwiki, 192.8 MB,enwiki-20150602-pages-articles9.xml-p000665001p000925001.bz2,/20150602/
English10,en,enwiki, 278.1 MB,enwiki-20150602-pages-articles10.xml-p000925001p001325001.bz2,/20150602/
English11,en,enwiki, 289.4 MB,enwiki-20150602-pages-articles11.xml-p001325001p001825001.bz2,/20150602/
English12,en,enwiki, 315.0 MB,enwiki-20150602-pages-articles12.xml-p001825001p002425000.bz2,/20150602/
English13,en,enwiki, 296.9 MB,enwiki-20150602-pages-articles13.xml-p002425002p003125001.bz2,/20150602/
English14,en,enwiki, 296.0 MB,enwiki-20150602-pages-articles14.xml-p003125001p003925001.bz2,/20150602/
English15,en,enwiki, 284.0 MB,enwiki-20150602-pages-articles15.xml-p003925001p004824998.bz2,/20150602/
English16,en,enwiki, 347.4 MB,enwiki-20150602-pages-articles16.xml-p004825005p006025001.bz2,/20150602/
English17,en,enwiki, 353.1 MB,enwiki-20150602-pages-articles17.xml-p006025001p007524997.bz2,/20150602/
English18,en,enwiki, 372.5 MB,enwiki-20150602-pages-articles18.xml-p007525004p009225000.bz2,/20150602/
English19,en,enwiki, 350.6 MB,enwiki-20150602-pages-articles19.xml-p009225002p011124997.bz2,/20150602/
English20,en,enwiki, 469.5 MB,enwiki-20150602-pages-articles20.xml-p011125004p013324998.bz2,/20150602/
English21,en,enwiki, 484.9 MB,enwiki-20150602-pages-articles21.xml-p013325003p015724999.bz2,/20150602/
English22,en,enwiki, 437.2 MB,enwiki-20150602-pages-articles22.xml-p015725013p018225000.bz2,/20150602/
English23,en,enwiki, 517.5 MB,enwiki-20150602-pages-articles23.xml-p018225004p020925000.bz2,/20150602/
English24,en,enwiki, 573.4 MB,enwiki-20150602-pages-articles24.xml-p020925002p023725001.bz2,/20150602/
English25,en,enwiki, 604.3 MB,enwiki-20150602-pages-articles25.xml-p023725001p026624997.bz2,/20150602/
English26,en,enwiki, 563.9 MB,enwiki-20150602-pages-articles26.xml-p026625004p029624976.bz2,/20150602/
English27,en,enwiki, 3.2 GB,enwiki-20150602-pages-articles27.xml-p029625017p046872011.bz2,/20150602/
Esperanto,eo,eowiki, 171.9 MB,eowiki-20150602-pages-articles.xml.bz2,/20150602/
Spanish1,es,eswiki, 220.3 MB,eswiki-20150602-pages-articles1.xml.bz2,/20150602/
Spanish2,es,eswiki, 333.1 MB,eswiki-20150602-pages-articles2.xml.bz2,/20150602/
Spanish3,es,eswiki, 462.1 MB,eswiki-20150602-pages-articles3.xml.bz2,/20150602/
Spanish4,es,eswiki, 1.0 GB,eswiki-20150602-pages-articles4.xml.bz2,/20150602/
Estonian,et,etwiki, 123.7 MB,etwiki-20150602-pages-articles.xml.bz2,/20150602/
Basque,eu,euwiki, 120.9 MB,euwiki-20150603-pages-articles.xml.bz2,/20150603/
Extremaduran,ext,extwiki, 1.7 MB,extwiki-20150602-pages-articles.xml.bz2,/20150602/
Persian,fa,fawiki, 384.6 MB,fawiki-20150602-pages-articles.xml.bz2,/20150602/
Fula,ff,ffwiki, 226 KB,ffwiki-20150603-pages-articles.xml.bz2,/20150603/
V_ro,fiu-vro,fiu_vrowiki, 1.6 MB,fiu_vrowiki-20150603-pages-articles.xml.bz2,/20150603/
Finnish,fi,fiwiki, 452.7 MB,fiwiki-20150602-pages-articles.xml.bz2,/20150602/
Fijian,fj,fjwiki, 139 KB,fjwiki-20150603-pages-articles.xml.bz2,/20150603/
Faroese,fo,fowiki, 8.3 MB,fowiki-20150602-pages-articles.xml.bz2,/20150602/
Franco-Provençal,frp,frpwiki, 1.0 MB,frpwiki-20150602-pages-articles.xml.bz2,/20150602/
North Frisian,frr,frrwiki, 3.5 MB,frrwiki-20150602-pages-articles.xml.bz2,/20150602/
French1,fr,frwiki, 438.3 MB,frwiki-20150602-pages-articles1.xml.bz2,/20150602/
French2,fr,frwiki, 531.8 MB,frwiki-20150602-pages-articles2.xml.bz2,/20150602/
French3,fr,frwiki, 585.3 MB,frwiki-20150602-pages-articles3.xml.bz2,/20150602/
French4,fr,frwiki, 1.3 GB,frwiki-20150602-pages-articles4.xml.bz2,/20150602/
