Afar,aa,aawiki
Abkhazian,ab,abwiki
Acehnese,ace,acewiki
Afrikaans,af,afwiki
Akan,ak,akwiki
Alemannic,als,alswiki
Amharic,am,amwiki
Anglo-Saxon,ang,angwiki
Aragonese,an,anwiki
Aramaic,arc,arcwiki
Arabic,ar,arwiki
Egyptian Arabic,arz,arzwiki
Asturian,ast,astwiki
Assamese,as,aswiki
Avar,av,avwiki
Aymara,ay,aywiki
Azerbaijani,az,azwiki
Bavarian,bar,barwiki
Samogitian,bat-smg,bat_smgwiki
Bashkir,ba,bawiki
Central Bicolano,bcl,bclwiki
Belarusian,be,bewiki
Belarusian (Tara_kievica),be-x-old,be_x_oldwiki
Bulgarian,bg,bgwiki
Bhojpuri,bh,bhwiki
Bislama,bi,biwiki
Banjar,bjn,bjnwiki
Bambara,bm,bmwiki
Bengali,bn,bnwiki
Tibetan,bo,bowiki
Bishnupriya Manipuri,bpy,bpywiki
Breton,br,brwiki
Bosnian,bs,bswiki
Buginese,bug,bugwiki
Buryat,bxr,bxrwiki
Catalan,ca,cawiki
Chavacano,cbk-zam,cbk_zamwiki
Min Dong,cdo,cdowiki
Cebuano,ceb,cebwiki
Chechen,ce,cewiki
Choctaw,cho,chowiki
Cherokee,chr,chrwiki
Chamorro,ch,chwiki
Cheyenne,chy,chywiki
Sorani,ckb,ckbwiki
Corsican,co,cowiki
Crimean Tatar,crh,crhwiki
Cree,cr,crwiki
Kashubian,csb,csbwiki
Czech,cs,cswiki
Old Church Slavonic,cu,cuwiki
Chuvash,cv,cvwiki
Welsh,cy,cywiki
Danish,da,dawiki
German,de,dewiki
Zazaki,diq,diqwiki
Lower Sorbian,dsb,dsbwiki
Divehi,dv,dvwiki
Dzongkha,dz,dzwiki
Ewe,ee,eewiki
Greek,el,elwiki
Emilian-Romagnol,eml,emlwiki
English,en,enwiki
Esperanto,eo,eowiki
Spanish,es,eswiki
Estonian,et,etwiki
Basque,eu,euwiki
Extremaduran,ext,extwiki
Persian,fa,fawiki
Fula,ff,ffwiki
V_ro,fiu-vro,fiu_vrowiki
Finnish,fi,fiwiki
Fijian,fj,fjwiki
Faroese,fo,fowiki
Franco-Provençal,frp,frpwiki
North Frisian,frr,frrwiki
French,fr,frwiki
Friulian,fur,furwiki
West Frisian,fy,fywiki
Gagauz,gag,gagwiki
Gan,gan,ganwiki
Irish,ga,gawiki
Scottish Gaelic,gd,gdwiki
Gilaki,glk,glkwiki
Galician,gl,glwiki
Guarani,gn,gnwiki
Goan Konkani,gom,gomwiki
Gothic,got,gotwiki
Gujarati,gu,guwiki
Manx,gv,gvwiki
Hakka,hak,hakwiki
Hausa,ha,hawiki
Hawaiian,haw,hawwiki
Hebrew,he,hewiki
Fiji Hindi,hif,hifwiki
Hindi,hi,hiwiki
Hiri Motu,ho,howiki
Croatian,hr,hrwiki
Upper Sorbian,hsb,hsbwiki
Haitian,ht,htwiki
Hungarian,hu,huwiki
Armenian,hy,hywiki
Herero,hz,hzwiki
Interlingua,ia,iawiki
Indonesian,id,idwiki
Interlingue,ie,iewiki
Igbo,ig,igwiki
Sichuan Yi,ii,iiwiki
Inupiak,ik,ikwiki
Ilokano,ilo,ilowiki
Ido,io,iowiki
Icelandic,is,iswiki
Italian,it,itwiki
Inuktitut,iu,iuwiki
Japanese,ja,jawiki
Lojban,jbo,jbowiki
Javanese,jv,jvwiki
Karakalpak,kaa,kaawiki
Kabyle,kab,kabwiki
Georgian,ka,kawiki
Kabardian,kbd,kbdwiki
Kongo,kg,kgwiki
Kikuyu,ki,kiwiki
Kuanyama,kj,kjwiki
Kazakh,kk,kkwiki
Greenlandic,kl,klwiki
Khmer,km,kmwiki
